amplitud_inicial;frecuencia_inicial;amplitud_final;frecuencia_final;gasto;;
0,004443405;2015,625;0,012841653;2015,625;0;;
0,004241478;2039,0625;0,017516795;2039,0625;0,000660521;;
0,006376098;2062,5;0,007595051;2062,5;0,000660521;;
0,00464491;2085,9375;0,002956937;2085,9375;0,000660521;;
0,006565084;2109,375;0,02176368;2109,375;0,000660521;;
0,000965692;2132,8125;0,017940259;2132,8125;0,000660521;;
0,006714971;2156,25;0,00269254;2156,25;0,000660521;;
0,008243441;2179,6875;0,003741543;2179,6875;0,000660521;;
0,013606759;2203,125;0,015189611;2203,125;0,000660521;;
0,009624981;2226,5625;0,004513479;2226,5625;0,000660521;;
0,008901471;2273,4375;0,008645678;2273,4375;0,000660521;;
0,005318897;2296,875;0,007141763;2296,875;0,000660521;;
0,016271104;2320,3125;0,009934746;2320,3125;0,000660521;;
0,010062246;2343,75;0,006715694;2343,75;0,000660521;;
0,004922591;2367,1875;0,009325098;2367,1875;0,000660521;;
0,015594351;2390,625;0,009418149;2390,625;0,000660521;;
0,007589981;2414,0625;0,026956423;2414,0625;0,000660521;;
0,012256159;2437,5;0,008947743;2437,5;0,000660521;;
0,006564649;2531,25;0,015214014;2531,25;0,000660521;;
0,005306781;2554,6875;0,011211888;2554,6875;0,000660521;;
0,010224651;2718,75;0,016393368;2718,75;0,000201218;;
0,013692273;2765,625;0,006628708;2765,625;0,000110087;;
0,006195117;2835,9375;0,006619368;2835,9375;0,000110087;;
0,0225892;3046,875;0,004850957;3046,875;0,000110087;;
0,018117355;3070,3125;0,007088805;3070,3125;0,000110087;;
0,029478802;3093,75;0,009081239;3093,75;0,000110087;;
0,007822648;3117,1875;0,015684408;3117,1875;0,000110087;;
0,004097043;3140,625;0,010014804;3140,625;0,000110087;;
0,001088412;3164,0625;0,004882986;3164,0625;0,000110087;;
0,005034668;3187,5;0,004132028;3187,5;0,000110087;;
0,013536445;3210,9375;0,002374041;3210,9375;0,000110087;;
0,023866748;3234,375;0,013305276;3234,375;0,000110087;;
0,007578528;3445,3125;0,01173978;3445,3125;0,000110087;;
0,013301872;3468,75;0,023155784;3468,75;0,000110087;;
0,013108078;3492,1875;0,007654799;3492,1875;0,000110087;;
0,001078168;3515,625;0,02656167;3515,625;0,000110087;;
0,013665108;3632,8125;0,006405781;3632,8125;0,000110087;;
0,012894326;3656,25;0,000842544;3656,25;0,000110087;;
0,008560012;3679,6875;0,014922086;3679,6875;0,000110087;;
0,008367953;3703,125;0,017813966;3703,125;0,000110087;;
0,014448341;3726,5625;0,006002754;3726,5625;0,000110087;;
0,01565591;3750;0,005606652;3750;0,000110087;;
0,006651701;3937,5;0,014353734;3937,5;0,000110087;;
0,000667247;3960,9375;0,007952275;3960,9375;0,000110087;;
0,002068883;3984,375;0,013389428;3984,375;0,000110087;;
0,008552838;4007,8125;0,016267431;4007,8125;0,000110087;;
0,01194002;4125;0,008093488;4125;0,000184819;;
0,014513911;4148,4375;0,004334121;4148,4375;0,000198156;;
0,003509293;4171,875;0,011783385;4171,875;0,000198156;;
0,010346063;4195,3125;0,028448908;4195,3125;0,000198156;;
0,020890602;4218,75;0,010086023;4218,75;0,000198156;;
0,014584334;4242,1875;0,009017512;4242,1875;0,000198156;;
0,013910967;4265,625;0,009608465;4265,625;0,000198156;;
0,011351131;4289,0625;0,009221471;4289,0625;0,000198156;;
0,003274639;4312,5;0,003681738;4312,5;0,000198156;;
0,013407133;4335,9375;0,008407266;4335,9375;0,000198156;;
0,009043988;4359,375;0,016427143;4359,375;0,000198156;;
0,008512586;4382,8125;0,017542408;4382,8125;0,000198156;;
0,003038132;4406,25;0,004632118;4406,25;0,000198156;;
0,002164757;4429,6875;0,019581325;4429,6875;0,000198156;;
0,005596886;4453,125;0,003006731;4453,125;0,000198156;;
0,010063678;4546,875;0,012837709;4546,875;0,000198156;;
0,005066658;4570,3125;0,0121007;4570,3125;0,000198156;;
0,011497268;4593,75;0,018185716;4593,75;0,000198156;;
0,016368697;4617,1875;0,01867697;4617,1875;0,000198156;;
0,010902132;4640,625;0,025299242;4640,625;0,000198156;;
0,006068051;4664,0625;0,00577242;4664,0625;0,000198156;;
0,012830315;4687,5;0,002812613;4687,5;0,000198156;;
0,016097108;4710,9375;0,01056013;4710,9375;0,000198156;;
0,010093418;4734,375;0,020507917;4734,375;0,000198156;;
0,007983124;4757,8125;0,009244224;4757,8125;0,000198156;;
0,017067175;4781,25;0,005650402;4781,25;0,000198156;;
0,00771862;4804,6875;0,019983253;4804,6875;0,000198156;;
0,008039847;4828,125;0,014780359;4828,125;0,000198156;;
0,007845868;4851,5625;0,001760046;4851,5625;0,000198156;;
0,031315527;4875;0,018576698;4875;0,000198156;;
0,006551701;4898,4375;0,00276746;4898,4375;0,000198156;;
0,026099592;4921,875;0,009664296;4921,875;0,000198156;;
0,002873483;4945,3125;0,022392564;4945,3125;0,000198156;;
0,019931269;4968,75;0,011211698;4968,75;0,000198156;;
0,015809498;5039,0625;0,027336299;5039,0625;0,000198156;;
0,027534056;5062,5;0,004907078;5062,5;0,000198156;;
0,021199188;5109,375;0,00542861;5109,375;0,000198156;;
0,016922534;5132,8125;0,003274989;5132,8125;0,000198156;;
0,008264281;5156,25;0,023304243;5156,25;0,000198156;;
0,021537064;5179,6875;0,018923647;5179,6875;0,000198156;;
0,016103882;5203,125;0,03195885;5203,125;0,000198156;;
0,0184473;5226,5625;0,008152909;5226,5625;0,000198156;;
0,025662265;5320,3125;0,018752907;5320,3125;0,000198156;;
0,019842392;5390,625;0,006831126;5390,625;0,000198156;;
0,020969872;5414,0625;0,013898706;5414,0625;0,000198156;;
0,017660744;5437,5;0,006916902;5437,5;0,000198156;;
0,032348321;5460,9375;0,032416824;5460,9375;0,000198156;;
0,016004847;5484,375;0,012613524;5484,375;0,000198156;;
0,004249558;5531,25;0,021996031;5531,25;0,000198156;;
0,013713776;5601,5625;0,002859511;5601,5625;0,000198156;;
0,004284678;5695,3125;0,003987482;5695,3125;0,000198156;;
0,026685171;5718,75;0,007975124;5718,75;0,000198156;;
0,028136053;5742,1875;0,05101955;5742,1875;0,000204125;;
0,024393603;5906,25;0,020690141;5906,25;0,000297235;;
0,03063831;5929,6875;0,00378675;5929,6875;0,000297235;;
0,017944074;5953,125;0,014649069;5953,125;0,000297235;;
0,010930327;5976,5625;0,020323354;5976,5625;0,000297235;;
0,021461086;6000;0,003804649;6000;0,000297235;;
0,015325378;6023,4375;0,015801306;6023,4375;0,000297235;;
0,011995557;6046,875;0,014784082;6046,875;0,000297235;;
0,022906765;6070,3125;0,0227378;6070,3125;0,000297235;;
0,03414948;6093,75;0,022995338;6093,75;0,000297235;;
0,008803698;6304,6875;0,020145632;6304,6875;0,000297235;;
0,024824655;6328,125;0,031904788;6328,125;0,000297235;;
0,035376502;6351,5625;0,008022331;6351,5625;0,000297235;;
0,018050371;6375;0,014799745;6375;0,000297235;;
0,00688357;6445,3125;0,021110757;6445,3125;0,000297235;;
0,023584886;6468,75;0,016297082;6468,75;0,000297235;;
0,011541879;6492,1875;0,029139215;6492,1875;0,000297235;;
0,025661213;6515,625;0,019495675;6515,625;0,000297235;;
0,009148497;6632,8125;0,007796693;6632,8125;0,000292859;;
0,037652745;6867,1875;0,005219955;6867,1875;0,000150976;;
0,013992088;6890,625;0,026510884;6890,625;0,000150976;;
0,009109665;6914,0625;0,012426783;6914,0625;0,000150976;;
0,009823584;6937,5;0,031483287;6937,5;0,000150976;;
0,031862082;6960,9375;0,00187062;6960,9375;0,000150976;;
0,029468961;7125;0,022641029;7125;0,000150976;;
0,009307604;7453,125;0,007047461;7453,125;0,000150976;;
0,014403773;7476,5625;0,004578494;7476,5625;0,000150976;;
0,024918306;7500;0,01323941;7500;0,000150976;;
0,019898315;7523,4375;0,018128977;7523,4375;0,000150976;;
0,018783027;7570,3125;0,003651464;7570,3125;0,000150976;;
0,021773691;7757,8125;0,004647583;7757,8125;0,000150976;;
0,015176533;7781,25;0,013938116;7781,25;0,000150976;;
0,021865075;7804,6875;0,010061552;7804,6875;0,000150976;;
0,025665247;7898,4375;0,038378025;7898,4375;0,000150976;;
0,012272132;7921,875;0,022739294;7921,875;0,000150976;;
0,021805526;8085,9375;0,015786629;8085,9375;0,000150976;;
0,016695216;8414,0625;0,030313669;8414,0625;0,000150976;;
0,019430283;8554,6875;0,027068022;8554,6875;0,000150976;;
0,026117392;8578,125;0,000852979;8578,125;0,000150976;;
0,004571209;8601,5625;0,020135863;8601,5625;0,000150976;;
0,007748385;8671,875;0,003137062;8671,875;0,000150976;;
0,02879058;8695,3125;0,00537094;8695,3125;0,000150976;;
0,013251445;8859,375;0,026578503;8859,375;0,000150976;;
0,00131605;8882,8125;0,016680205;8882,8125;0,000150976;;
0,043215608;8906,25;0,016436708;8906,25;0,000150976;;
0,028702509;8929,6875;0,007846704;8929,6875;0,000150976;;
0,007845104;8953,125;0,013595085;8953,125;0,000150976;;
0,020880594;8976,5625;0,018808576;8976,5625;0,000150976;;
0,028322167;9000;0,013584941;9000;0,000150976;;
0,028736343;9023,4375;0,01514289;9023,4375;0,000150976;;
0,024526851;9046,875;0,007764747;9046,875;0,000150976;;
0,017630865;9234,375;0,013582448;9234,375;0,000150976;;
0,019416031;9515,625;0,013820852;9515,625;0,000150976;;
0,012136171;9679,6875;0,019206192;9679,6875;0,000150976;;
0,011243688;9703,125;0,021676211;9703,125;0,000150976;;
0,016794805;9937,5;0,013976374;9937,5;0,000164715;;
0,01049962;9984,375;0,022076038;9984,375;0,000173062;;
0,024342273;10171,875;0,017697612;10171,875;0,000173062;;
0,01940664;10195,3125;0,036474543;10195,3125;0,000173062;;
0,003575018;10218,75;0,017940387;10218,75;0,000173062;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
